"","Kingdom","Phylum","Class","Order","Family","Genus","w2-921-5.fastq","w1-105-2.fastq","w2-921-11.fastq","w2-921-9.fastq","w2-831-3.fastq","w1-921-3.fastq","w1-921-2.fastq","w1-921-15.fastq","w2-921-2.fastq","bc1104--bc1115-Q40.fastq","w1-105-3.fastq","w1-921-6.fastq","w2-105-1.fastq","w2-921-12.fastq","w1-929-3.fastq","w1-921-4.fastq","bc1111--bc1174-Q40.fastq","w2-921-3.fastq","w2-929-1.fastq","bc1114--bc1169-Q40.fastq","w1-929-2.fastq","w2-97-1.fastq","w2-921-6.fastq","w1-921-14.fastq","w2-97-3.fastq","w2-831-2.fastq","w2-921-13.fastq","w2-921-1.fastq","w2-97-2.fastq","w2-921-10.fastq","w2-831-1.fastq","bc1097--bc1169-Q40.fastq","w1-929-6.fastq","w2-97-5.fastq","w1-921-1.fastq","bc1103--bc1112-Q40.fastq","w2-921-4.fastq","w1-921-10.fastq","w2-921-14.fastq","w1-929-4.fastq","w2-97-4.fastq","w1-929-1.fastq","w2-921-8.fastq","w1-921-13.fastq","w2-831-4.fastq","w1-921-8.fastq","w2-930-1.fastq","bc1103--bc1113-Q40.fastq","bc1105--bc1114-Q40.fastq","bc1108--bc1113-Q40.fastq","bc1108--bc1114-Q40.fastq","bc1107--bc1112-Q40.fastq","bc1111--bc1169-Q40.fastq","bc1097--bc1107-Q40.fastq","bc1107--bc1115-Q40.fastq","bc1113--bc1174-Q40.fastq","w1-921-7.fastq","bc1107--bc1113-Q40.fastq","bc1104--bc1114-Q40.fastq","bc1103--bc1115-Q40.fastq","w1-921-12.fastq"
"1","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus",1090,7,697,0,7,0,0,0,372,0,0,6,0,0,0,0,160,0,0,0,0,26,0,19,0,0,0,0,0,0,10,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Cichorium",0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Paspalum",0,0,0,489,0,0,0,6,106,0,0,31,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Stellaria",0,0,0,21,426,424,0,0,0,0,0,0,246,199,0,0,11,0,21,0,0,0,0,102,0,0,0,0,0,78,0,0,0,0,0,3,0,0,40,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,0,3,0,0,0
"5","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium",0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Lollium",0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Urochloa",0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus",0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Digitaria",0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,129,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"10","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium",0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia",117,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,136,0,0,0,14,0,0,89,0,0,0,0,0,0,40,0,26,0,0,0,0,15,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Altingiaceae","Liquidambar",0,0,0,0,0,0,0,21,17,0,0,0,70,0,0,0,0,0,0,0,117,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum",0,0,0,0,117,38,0,0,35,0,0,0,0,2,0,8,0,4,0,0,0,0,0,5,12,0,0,0,0,0,45,0,0,0,0,57,0,46,0,0,0,0,31,13,0,16,0,0,0,0,0,0,0,0,8,0,5,0,0,2,3
"18","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Dichanthelium",0,0,0,0,0,0,116,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Juglandaceae","Carya",108,0,11,0,0,0,21,0,4,0,0,0,0,25,0,0,0,0,0,0,0,0,52,18,0,0,43,0,81,0,0,0,0,0,15,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Lamium",46,0,0,0,0,0,0,0,0,7,101,25,0,0,0,0,0,0,0,2,0,88,0,48,0,0,0,0,0,0,77,0,0,0,0,0,46,0,0,0,0,33,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,3,0
"22","Viridiplantae","Streptophyta","Magnoliopsida","Proteales","Platanaceae","Platanus",0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus",94,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Pedaliaceae","Sesamum",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Solanaceae","Solanum",0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"26","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Daucus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
